uri,concurrency,requests,qps,tpr,t_90
/param/1?param=no-optimize,500,30000,8798.06,56.831,38
/param/1?param=no-optimize,500,30000,12122.04,41.247,9
/param/1?param=no-optimize,500,30000,13277.41,37.658,8
/param/1?param=no-optimize,500,30000,23441.13,21.33,4
/param/1?param=no-optimize,500,30000,24082.59,20.762,4
/param/1?param=no-optimize,500,30000,24421.3,20.474,4
/param/1?param=no-optimize,500,30000,25193.46,19.846,4
/param/1?param=no-optimize,500,30000,27995.0,17.86,4
/param/1?param=no-optimize,500,30000,24997.73,20.002,4
/param/1?param=no-optimize,500,30000,23908.69,20.913,4
uri,concurrency,requests,qps,tpr,t_90
/param/10?param=no-optimize,500,30000,6976.03,71.674,31
/param/10?param=no-optimize,500,30000,12955.04,38.595,7
/param/10?param=no-optimize,500,30000,14434.55,34.639,6
/param/10?param=no-optimize,500,30000,23092.41,21.652,4
/param/10?param=no-optimize,500,30000,26719.01,18.713,4
/param/10?param=no-optimize,500,30000,24353.18,20.531,4
/param/10?param=no-optimize,500,30000,24357.51,20.528,4
/param/10?param=no-optimize,500,30000,24391.39,20.499,4
/param/10?param=no-optimize,500,30000,25930.99,19.282,4
/param/10?param=no-optimize,500,30000,28158.17,17.757,4
uri,concurrency,requests,qps,tpr,t_90
/param/50?param=no-optimize,500,30000,8172.15,61.183,28
/param/50?param=no-optimize,500,30000,12767.36,39.162,7
/param/50?param=no-optimize,500,30000,18179.14,27.504,5
/param/50?param=no-optimize,500,30000,24065.26,20.777,4
/param/50?param=no-optimize,500,30000,27785.55,17.995,4
/param/50?param=no-optimize,500,30000,26136.23,19.131,4
/param/50?param=no-optimize,500,30000,24398.87,20.493,4
/param/50?param=no-optimize,500,30000,26511.18,18.86,3
/param/50?param=no-optimize,500,30000,27325.47,18.298,4
/param/50?param=no-optimize,500,30000,24415.73,20.479,4
uri,concurrency,requests,qps,tpr,t_90
/param/100?param=no-optimize,500,30000,8378.72,59.675,23
/param/100?param=no-optimize,500,30000,12806.42,39.043,7
/param/100?param=no-optimize,500,30000,15733.11,31.78,7
/param/100?param=no-optimize,500,30000,19518.59,25.617,5
/param/100?param=no-optimize,500,30000,24064.24,20.778,4
/param/100?param=no-optimize,500,30000,24189.63,20.67,4
/param/100?param=no-optimize,500,30000,23346.98,21.416,4
/param/100?param=no-optimize,500,30000,24547.49,20.369,4
/param/100?param=no-optimize,500,30000,24119.94,20.73,4
/param/100?param=no-optimize,500,30000,24284.24,20.589,4
uri,concurrency,requests,qps,tpr,t_90
/param/200?param=no-optimize,500,30000,8533.96,58.589,24
/param/200?param=no-optimize,500,30000,11841.01,42.226,9
/param/200?param=no-optimize,500,30000,4556.28,109.739,6
/param/200?param=no-optimize,500,30000,23745.24,21.057,4
/param/200?param=no-optimize,500,30000,27774.85,18.002,4
/param/200?param=no-optimize,500,30000,23527.53,21.252,5
/param/200?param=no-optimize,500,30000,28750.72,17.391,4
