uri,concurrency,requests,qps,tpr,t_90
/param/1?param=no-optimize,500,30000,8288.53,60.324,20
/param/1?param=no-optimize,500,30000,9223.6,54.209,7
/param/1?param=no-optimize,500,30000,20796.94,24.042,6
/param/1?param=no-optimize,500,30000,26132.93,19.133,4
/param/1?param=no-optimize,500,30000,24159.86,20.695,4
/param/1?param=no-optimize,500,30000,24192.24,20.668,5
/param/1?param=no-optimize,500,30000,23642.38,21.148,4
/param/1?param=no-optimize,500,30000,25063.28,19.95,4
/param/1?param=no-optimize,500,30000,23722.33,21.077,5
/param/1?param=no-optimize,500,30000,29441.15,16.983,4
/param/1?param=no-optimize,500,30000,31879.96,15.684,3
/param/1?param=no-optimize,500,30000,27863.9,17.944,4
/param/1?param=no-optimize,500,30000,25822.4,19.363,4
/param/1?param=no-optimize,500,30000,25623.59,19.513,4
/param/1?param=no-optimize,500,30000,24253.36,20.616,4
/param/1?param=no-optimize,500,30000,25566.12,19.557,3
/param/1?param=no-optimize,500,30000,24877.97,20.098,4
/param/1?param=no-optimize,500,30000,24368.79,20.518,4
/param/1?param=no-optimize,500,30000,24084.22,20.76,4
/param/1?param=no-optimize,500,30000,25040.82,19.967,3
uri,concurrency,requests,qps,tpr,t_90
/param/10?param=no-optimize,500,30000,8079.8,61.883,31
/param/10?param=no-optimize,500,30000,12379.45,40.39,8
/param/10?param=no-optimize,500,30000,19499.73,25.641,6
/param/10?param=no-optimize,500,30000,23197.77,21.554,5
/param/10?param=no-optimize,500,30000,24501.14,20.407,3
/param/10?param=no-optimize,500,30000,23719.67,21.08,4
/param/10?param=no-optimize,500,30000,26384.64,18.95,4
/param/10?param=no-optimize,500,30000,24335.91,20.546,4
/param/10?param=no-optimize,500,30000,24426.9,20.469,4
/param/10?param=no-optimize,500,30000,24651.45,20.283,4
/param/10?param=no-optimize,500,30000,24624.34,20.305,4
/param/10?param=no-optimize,500,30000,24027.91,20.809,4
/param/10?param=no-optimize,500,30000,24417.32,20.477,4
/param/10?param=no-optimize,500,30000,24630.48,20.3,4
/param/10?param=no-optimize,500,30000,24015.06,20.82,4
/param/10?param=no-optimize,500,30000,23975.07,20.855,5
/param/10?param=no-optimize,500,30000,24027.45,20.81,4
